項次,新聞標題,新聞發布日期,正確原文連結,媒體來源,趨勢標籤,新聞摘要
1,Hugging Face and Cerebras bring Gemma 4 to real-time voice AI,2026-07-01 00:00,https://huggingface.co/blog/cerebras-gemma4-voice-ai,Hugging Face Blog,Enterprise & ROI / 企業應用與效益,
2,挑戰輝達！AI晶片新創Etched募資8億美元 台積電策略夥伴也入列 - FTNN 新聞,2026-07-01 07:00,https://news.google.com/rss/articles/CBMiS0FVX3lxTE5hckJ5NW1UTThhc3Q3czhJaGc4aUpvSV9pY0M1di1YSHZWTGoyTTVGajM2VGRGMmJyRE1VSllDY1JvcEVQYWFIQ1JFQQ?oc=5,FTNN 新聞 (via Google News),"智慧製造與工業 AI, Chips & Hardware / 晶片與算力",挑戰輝達！AI晶片新創Etched募資8億美元 台積電策略夥伴也入列  FTNN 新聞
3,【TechGuide】為什麼 NVIDIA 高層說「最好用兩份AI」多寫履歷備著？選對工具才能大幅提升你的錄取率！ - GQ Taiwan,2026-07-01 07:00,https://news.google.com/rss/articles/CBMiaEFVX3lxTE05SUZCMUxuUDI2dy13RFNmQ1JXTXRzNW5QTHhScTVCa2hLR1hoMmFVcUJlN29Zc3VCSklKQi03T3NYcUVnLVNGdGczcW9aRmtpdGJBWlJiLVB3RzNETzV5Z19MYnJxWGh4?oc=5,GQ Taiwan (via Google News),Chips & Hardware / 晶片與算力,【TechGuide】為什麼 NVIDIA 高層說「最好用兩份AI」多寫履歷備著？選對工具才能大幅提升你的錄取率！  GQ Taiwan
4,桃園AI新重鎮系列3一從紡織、塑化、食品到AI伺服器，一座城市看見「台灣產業縮影」桃園如何成為關鍵節點？ - 今周刊,2026-07-01 07:00,https://news.google.com/rss/articles/CBMigAFBVV95cUxNdDZaZ3FaSEE5X1NjX1FGQllwa3g2VW40TFZHZ0Y5VWdlYS1mZHczamQ2Tm81NkJzbFNDanR6SWxvamxDdEdUY0YwMUVldjB5aC16dkxYNGxpVHZ1Qy1NbDQxRC16VDZLOVpZWlVaM05HOFhLcWdvOFlrMl9QUnp3bw?oc=5,今周刊 (via Google News),智慧製造與工業 AI,桃園AI新重鎮系列3一從紡織、塑化、食品到AI伺服器，一座城市看見「台灣產業縮影」桃園如何成為關鍵節點？  今周刊
5,AI淨零／ 友達新設創新研究院、高階人事異動 深化AI轉型 - cna.com.tw,2026-07-01 07:00,https://news.google.com/rss/articles/CBMiXkFVX3lxTFB2QlI2LTJaTTlqSHVQSG8zODUtaFp4U25YdnVPOTk0bDZneVZlbmRGckYwWHhlM2NuMkZYd2pVeWZBdU9ERDBmRGdxMlJwX09YbG9iX1Z1b2h4QlA3UVE?oc=5,cna.com.tw (via Google News),研發與創新,AI淨零／ 友達新設創新研究院、高階人事異動 深化AI轉型  cna.com.tw
6,"'Revolution': Fed Chair Kevin Warsh says US likely 'big winner' in AI race - ABC News - Breaking News, Latest News and Videos",2026-07-01 07:00,https://news.google.com/rss/articles/CBMimgFBVV95cUxORjdpWmFQS21LeVR2NDdrZThjSmltaHR1UDFUTW1oTnRXemtsZk9LR1RGbEZ0bWNnaWVxak1LQkk0eW1GLTBwRVctM1NHeGlpY1p2eTdFb2ZpenZ5NUNLTG1HRVRCRVFaVEJIYW1xdTdMWnZ6Y19aNC1Say0zY3hENDAtdVVHUkRneWE4M19BeEJfZVZ6MmFUcE530gGfAUFVX3lxTFBNTjRHTkxhLUxEdDdkUG9oZDJCaTVxbHdVUzZncTI2Y19WQ3hLZFNNZGJ6cE5kUHNYM2tWZ0ozWnR1M1VsTVBxOUxyUkRDLWdYY2ozUndIaE15R3huSWZ0MDItdVE5MndqclRKbG9lQ2VHc2xZQkpiXzc4M1c3QXRCbWFoWnFDSW1GWlJ0YXRrNHBtYnhpckt5WHJNRWJKcw?oc=5,"ABC News - Breaking News, Latest News and Videos (via Google News)",Enterprise & ROI / 企業應用與效益,"'Revolution': Fed Chair Kevin Warsh says US likely 'big winner' in AI race  ABC News - Breaking News, Latest News and Videos"
7,Hong Kong tech chief warns AI will unleash ‘greatest industrial revolution’ - South China Morning Post,2026-07-01 07:00,https://news.google.com/rss/articles/CBMizgFBVV95cUxOV2hwVF9oQ29hTG16bG5SZkNuZ21oXzBBazAtNmdFUmlEZ1FkbmtrbTFNNnhWNFdEaVJKbWZSTTNUR2hJV05YOWFNZHlnQzRxc0RmYnZsWkpaeDZSa0dDN1loYm5wOXdwME0zS19xSXc3Nk5RYXA3ZEw0aDFuYzhWd2RVTnVlbHpMeUNTeXJqRHI2cW5pdExkVlVNeXZhM2UwM2pEbWVvenNVbHBYS3FiSEpkWUVLQlE5dmxXOVh2MWRnN2xHMFo3S1kxMzZSZ9IBzgFBVV95cUxNbFBzZjg4VS1qTjl2S2NnVzZEUHZ2UmdHbzlsXzFIaDVITDZjNmlEekwwdTExc1llOWp3amJJMThzellJZzRGdUdzZUNudnVhajY5dFdIRlJsejBPb2dCUHRGbzc2UDJ3dTNjQUMxeXNORXlmVG9yTmhtcEpvX1dSaElZZUhsLW1DWXE2S1AwMGdWbHI4cDNZdV90dThqUTRJZEVVNm9nOW9OWXZWQ2ZEWGZnTUJfWXBqbHdhVVFOcjQyai1PTDZpTXZtYm9KUQ?oc=5,South China Morning Post (via Google News),Enterprise & ROI / 企業應用與效益,Hong Kong tech chief warns AI will unleash ‘greatest industrial revolution’  South China Morning Post
8,日本計畫自主研發AI模型 部署千萬台AI機器人 - rti.org.tw,2026-07-01 07:00,https://news.google.com/rss/articles/CBMiV0FVX3lxTE80UWtZMDFXU1MzcGhrYWU1S3dPYkVxUkw0dXZDNGUxT25nOW45Z0F3WTF2WVh5c2RqZVUzMFhFcXJfeHVuMkh5RmRkRlFTV20yTVVnQzlNVQ?oc=5,rti.org.tw (via Google News),研發與創新,日本計畫自主研發AI模型 部署千萬台AI機器人  rti.org.tw
9,群聯攜手東華推AI算力共享平台 協助打造校園AI算力整合平台 - cna.com.tw,2026-07-01 07:00,https://news.google.com/rss/articles/CBMiVkFVX3lxTE9uZnJtM2p2TmhPTjNpOHlxQjhIWnlxVUlYN0xxTVlaRTVpOHJ1amhjTm03OXo2U01uOU9nRGl0UjlKUnZkZlJMWnh6aEVzem95QWVlSDd3?oc=5,cna.com.tw (via Google News),"智慧製造與工業 AI, Chips & Hardware / 晶片與算力",群聯攜手東華推AI算力共享平台 協助打造校園AI算力整合平台  cna.com.tw
10,《TAIPEI TIMES》 Tech execs held in China chip smuggling case - news.ltn.com.tw,2026-07-01 07:00,https://news.google.com/rss/articles/CBMiZkFVX3lxTE15LVQ0SGJLMVdsSFowU0Zxb05xVkZ0Z3FvZXdvUGJKODBmV3lzNkpFRFJfQ1NKNF9nX0NseHhVOUZXMzBRZ2pKRkt5cUs0SGtEN1hTOEJyZGJaV3Bjc013UHJ2aFc3QdIBa0FVX3lxTE5acTljSzZFTkw1NDdHVktzTjluaXJEeEcyMXFFSy1xQ0h5N21uTE54X3hfTlhDQnk2MUdnVHBDamYxVzlEV3dVXzJCSHdHMUNYMnhSWHlhSDhqRFp3Y040Ylk1d1dKTXhId0pZ?oc=5,news.ltn.com.tw (via Google News),"智慧製造與工業 AI, Chips & Hardware / 晶片與算力",《TAIPEI TIMES》 Tech execs held in China chip smuggling case  news.ltn.com.tw
